序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
22,银泰资源,000975,发行股份购买资产,2017-04-12,-,2017-04-14,2017-05-05,2017-06-28,2017-07-26,2017-09-05
50,博深工具,002282,发行股份购买资产,2017-06-19,-,2017-06-22,2017-07-04,2017-08-30,-,-
53,江山化工,002061,发行股份购买资产,2017-06-22,-,2017-06-27,2017-07-19,2017-08-30,-,-
58,新元科技,300472,发行股份购买资产,2017-06-26,-,2017-06-29,2017-07-12,2017-08-28,-,-
59,海越股份,600387,发行股份购买资产,2017-06-26,-,2017-06-29,2017-07-26,2017-08-30,-,-
61,上海电力,600021,发行股份购买资产,2017-06-27,-,2017-06-30,2017-07-31,2017-09-07,-,-
